date,type,description,borough
20240329,fraud,Online auction scam involving non-existent goods,Manhattan
20251201,assault,Brawl outside a concert venue; multiple arrests made and dozens of witnesses,Bronx
20231119,theft,Purse snatched from a shopping cart; witness provided a sketch,Manhattan
20240120,arson,Small fire started in a public restroom,Staten Island
20250115,murder,Victim found with multiple gunshot wounds; no immediate witnesses found,Staten Island
20230404,bribery,Political donation made in exchange for zoning changes,Manhattan
20240909,fraud,Investment fraud promising high returns; several victims acted as witnesses,Queens
20250702,theft,Package theft from a front porch recorded on doorbell cam,Brooklyn
20230811,robbery,Convenience store holdup; witness hid in the back room,Brooklyn
20241230,assault,Domestic violence incident reported by a neighbor,Brooklyn
20250522,arson,Fire set to a local business during a riot; multiple witnesses on site,Bronx
20230605,theft,Copper wiring stolen from a construction site,Manhattan
20241014,fraud,Social security number used to open accounts; bank teller acted as witness,Staten Island
20250228,murder,Fatal stabbing in a parking garage; weapon recovered at the scene,Manhattan
20230325,bribery,Bribe paid to an environmental inspector; caught during an undercover sting,Staten Island
20240701,theft,Tools stolen from a work truck; witness saw two individuals,Queens
20251119,robbery,Jewelry store smash-and-grab; several shoppers witnessed it,Brooklyn
20231008,assault,Customer assaulted a staff member over a refund dispute,Brooklyn
20240520,arson,Suspicious fire in an apartment building basement; resident saw a suspect,Brooklyn
20250915,fraud,Identity theft via a data breach at a local hospital,Bronx
20230112,theft,Wallet stolen from a coat pocket in a crowded bar; witness pointed out suspect,Brooklyn
20240404,murder,Shooting death outside a nightclub; witnesses are cooperating,Staten Island
20251210,robbery,Pedestrian robbed of their watch at gunpoint; no witnesses in the alley,Manhattan
20230928,bribery,Bribe offered to a police officer during a search,Staten Island
20241130,theft,Larceny of electronics from a residence; neighbor saw a delivery truck,Queens
20250606,assault,Altercation at a transit station; security footage available,Brooklyn
20230719,arson,Old barn set on fire; teenagers seen in the area by a farmer,Brooklyn
20240211,fraud,Check kiting scheme involving multiple bank accounts,Manhattan
20250825,theft,Catalytic converter stolen from a car; witness heard a loud grinding noise,Bronx
20231205,robbery,Bank robbery by a lone suspect; no weapons shown,Manhattan
20240817,murder,Unsolved homicide involving a victim in a vehicle; a passerby found the car,Staten Island
20250320,bribery,Subcontractor paid for favorable contract terms,Manhattan
20230501,assault,Fight in a high school hallway; multiple student witnesses,Staten Island
20240128,theft,Phone stolen from a table while the owner was distracted,Queens
20251030,arson,Intentional fire in a dumpster near a school; witness saw a hooded figure,Brooklyn
20230622,fraud,Phishing scam targeting university students,Brooklyn
20241205,robbery,Victim robbed of shopping bags; mall security acted as witness,Manhattan
20250425,theft,Mountain bike stolen from a garage; witness saw a red truck,Bronx
20230302,murder,Assassination-style shooting in a driveway; witness saw a getaway car,Brooklyn
20240914,bribery,Kickback given to a purchasing agent for a tech firm,Staten Island
20250122,assault,Road rage incident leading to a physical fight; other drivers witnessed it,Brooklyn
20231111,arson,Curtains set on fire in an occupied apartment,Staten Island
20240530,fraud,Mortgage fraud involving forged signatures; notary acted as witness,Queens
20250205,theft,Construction equipment taken from a secure site,Brooklyn
20230819,robbery,Pharmacy robbed of prescription medications; three customers gave statements,Brooklyn
20241022,murder,Homicide resulting from a botched drug deal,Manhattan
20250711,bribery,Bribe offered to a health inspector; witness recorded the audio,Bronx
20230227,assault,Violent struggle during a shoplifting attempt,Brooklyn
20240315,theft,Art piece stolen from a gallery; attendee saw someone carrying a frame,Staten Island
20251125,arson,Vehicle fire spread to a nearby fence; arson suspected,Manhattan
20230905,fraud,Skimming device found on an ATM; no known witnesses,Staten Island
20241102,robbery,Delivery driver robbed of cash and food,Queens
20250628,theft,Package stolen from a mailroom; captured on video with one witness,Brooklyn
20230714,murder,Shooting at a public park; three witnesses identified,Brooklyn
20240118,bribery,Cash bribe offered to a DMV employee; coworker reported the incident,Brooklyn
20250930,assault,Physical fight between fans at a baseball game,Bronx
20231220,theft,Power tools stolen from a hardware store; manager saw the suspect flee,Manhattan
20240410,arson,Lumber yard fire determined to be intentional,Staten Island
20250505,fraud,Elderly person scammed; bank manager acted as a witness,Manhattan
20231015,robbery,Carjacking at a red light; witness gave a partial plate,Staten Island
20240822,murder,Victim discovered in an abandoned building,Queens
20250101,bribery,Bribe paid to influence a contract; witness provided internal emails,Brooklyn
20230330,theft,Purse stolen from the back of a chair,Brooklyn
20241220,assault,Security guard assaulted by a trespasser; multiple staff witnesses,Manhattan
20250415,arson,Garage fire set with gasoline; neighbor saw a suspect,Bronx
20230509,fraud,Online romance scam resulting in financial loss,Manhattan
20241111,theft,Laptop taken from a student; witness saw a man in a blue hoodie,Staten Island
20250810,robbery,Store clerk robbed at gunpoint during closing shift,Brooklyn
20230628,murder,Gang-related homicide in a housing project; residents heard shots,Staten Island
20240101,bribery,Business owner offered cash for a liquor license,Queens
20250214,theft,Cash register emptied; no witnesses present in the shop,Brooklyn
20230919,assault,Person hit with a glass bottle during a bar brawl,Brooklyn
20241030,arson,Vacant retail space gutted by fire; witness saw someone entering earlier,Brooklyn
20250325,fraud,Ponzi scheme defrauding dozens of local investors,Bronx
20231201,theft,Unlocked bicycle stolen from a front porch; neighbor saw a teenager,Brooklyn
20240512,robbery,Pedestrian mugged for their cell phone and wallet,Staten Island
20250120,murder,Domestic homicide; suspect turned themselves in to witnesses,Manhattan
20230815,bribery,Bribe paid to avoid a building code violation,Staten Island
20241125,theft,Retail theft of perfume; security alerted by a shopping witness,Queens
20250601,assault,Threats made with a weapon during a dispute,Brooklyn
20230211,arson,Trash fire set near a gas line; potentially explosive; no witnesses,Brooklyn
20240419,fraud,Unemployment benefits claimed using a stolen identity,Manhattan
20250910,theft,Wallet taken from an gym locker; witness saw a suspect using bolt cutters,Bronx
20231030,robbery,Armed robbery of a pizza delivery person,Manhattan
20240705,murder,Drive-by shooting; several shell casings recovered; witness saw a dark SUV,Staten Island
20251105,bribery,Offer made to an election official to alter votes,Manhattan
20230122,theft,Construction materials stolen from a site; witness reported a white truck,Staten Island
20240215,assault,Altercation between two drivers following a collision,Queens
20251215,arson,Intentional fire set to a playground; group of teens seen nearby,Brooklyn
20230514,fraud,Credit card fraud involving unauthorized online orders,Brooklyn
20240925,theft,Shoplifting incident; security guard acted as the primary witness,Manhattan
20250819,robbery,Masked individual robbed a convenience store,Bronx
20231128,murder,Stabbing death in a subway station; witness on platform gave a statement,Brooklyn
20240612,bribery,Contractor offered a bribe for an inspection pass,Staten Island
20251015,theft,Bicycle stolen from a second-story balcony; neighbor witnessed the climb,Manhattan
20230305,assault,Victim struck by a stranger in a random attack,Staten Island
20241201,arson,House fire determined to be arson; no witnesses reported in the area,Queens
20250422,fraud,Tax refund fraud using a deceased person's info,Brooklyn
20230910,theft,Backpack taken from a park bench; witness saw someone walking away,Brooklyn
20241108,robbery,Street robbery involving a firearm; witness fled the scene,Manhattan
20250131,murder,Investigation into a fatal shooting at a strip mall,Bronx
20230722,bribery,Attempted payoff to a police officer; dashcam acted as the witness,Manhattan
20240115,theft,Tools stolen from a garage; homeowner saw a shadow,Staten Island
20250510,assault,Security guard punched by an unruly patron; multiple patrons witnessed it,Brooklyn
20231225,arson,Structure fire at a storage facility; arson suspected,Staten Island
20240405,fraud,Phishing email targeting corporate employees; IT department acted as witness,Queens
20250919,theft,Package stolen from a porch; caught on camera,Brooklyn
20231002,robbery,Jewelry snatched from a woman's neck; witness chased the suspect,Brooklyn
20240828,murder,Body found in a wooded area; homicide suspected,Manhattan
20250220,bribery,Bribe offered to a city official; secretary witnessed the meeting,Bronx
20230612,theft,Bicycle stolen from a bike rack; lock was cut,Brooklyn
20240322,assault,Pushing and shoving match at a rally; dozens of witnesses filmed it,Staten Island
20251130,arson,Intentional fire set to a vehicle in a park,Manhattan
20230219,fraud,Bank account drained; bank teller acted as a witness to the withdrawal,Staten Island
20241010,theft,Purse taken from a grocery store cart,Queens
20250615,robbery,Pharmacy robbed of narcotics; witness identified a tattoo on the suspect,Brooklyn
20230518,murder,Fatal shooting during an attempted robbery,Brooklyn
20241222,bribery,Bribe paid to bypass a safety inspection; coworker came forward as witness,Manhattan
20250401,theft,Shoplifting of electronics; suspect fled on foot,Bronx
20230925,assault,Person threatened with a knife in an alleyway; witness yelled for help,Manhattan
20240714,arson,Small fire set in a vacant lot,Staten Island
20251025,fraud,Identity theft used to open store accounts; sales clerk was a witness,Manhattan
20230115,theft,Wheels stolen from a car parked at the airport,Staten Island
20240129,robbery,Convenience store robbery; clerk was injured and is the main witness,Queens
20250805,murder,Homicide investigation at a local apartment complex,Brooklyn
20230810,bribery,Bribe offered to a building inspector; second inspector was present,Brooklyn
20241115,theft,Laptop taken from a library table,Manhattan
20250528,assault,Customer assaulted a fast-food worker; several patrons witnessed the hit,Bronx
20230319,arson,House fire set by an estranged spouse,Manhattan
20240210,fraud,Fraudulent charges on a credit card; witness saw the card used at a kiosk,Staten Island
20251220,theft,Bicycle stolen from a backyard,Manhattan
20231105,robbery,Victim robbed of their purse; witness provided a description of the car,Staten Island
20240618,murder,Victim found dead in a hotel room; investigation ongoing,Queens
20250925,bribery,Bribe paid to an official; witness provided a photo of the envelope,Brooklyn
20230701,theft,Shoplifting of alcohol from a liquor store,Brooklyn
20240428,assault,Bar fight involving multiple patrons; security acted as witnesses,Manhattan
20250105,arson,Fire set to a vacant storefront,Bronx
20231025,fraud,Counterfeit checks used to purchase goods; witness saw the suspect flee,Manhattan
20240910,theft,Backpack stolen from a bus station,Staten Island
20251111,robbery,Bank robbery involving two masked suspects; many customers witnessed it,Brooklyn
20230505,murder,Fatal shooting in a residential neighborhood,Staten Island
20241215,bribery,Bribe offered to a code officer; witness saw the cash change hands,Queens
20250310,theft,Tools stolen from a construction site,Brooklyn
20230830,assault,Person struck with a weapon during a dispute; neighbor saw the attack,Brooklyn
20240122,arson,Car fire set in a public parking lot,Brooklyn
20250715,fraud,Investment scam targeting the elderly; family member acted as witness,Bronx
20230215,theft,Laptop taken from an office building,Manhattan
20241019,robbery,Mugging at a transit stop; witness saw the suspect,Staten Island
20250625,murder,Body found in a dumpster; homicide suspected; no witnesses reported,Manhattan
20230915,bribery,Bribe paid to a government official for a contract,Staten Island
20240310,theft,Bicycle stolen from a porch; delivery driver witnessed the theft,Queens
20251230,assault,Altercation at a sporting event,Brooklyn
20231115,arson,Small fire set in a park; no witnesses were present,Brooklyn
20240722,fraud,Email scam asking for personal information,Manhattan
20250210,theft,Shoplifting of cosmetics; witness saw suspect hide items in a bag,Bronx
20230412,robbery,Armed robbery of a pedestrian,Manhattan
20240805,murder,Shooting death in a parking lot; witness identified a silver sedan,Staten Island
20250119,bribery,Bribe offered to a city official,Manhattan
20230625,theft,Package stolen from a front door; neighbor witnessed the theft,Staten Island
20241111,assault,Physical fight between two neighbors,Queens
20251020,arson,Intentional fire set to a fence; witness saw a suspect with a lighter,Brooklyn
20231228,fraud,Credit card skimming at a gas pump,Brooklyn
20240515,theft,Bicycle stolen from a rack; witness saw the lock being cut,Brooklyn
20250915,robbery,Mugging in a public park,Bronx
20230730,murder,Homicide investigation following a shooting; three witnesses found,Manhattan
20240228,bribery,Bribe paid to influence a legal case,Staten Island
20250422,theft,Laptop taken from a cafe; witness provided a suspect description,Manhattan
20230514,theft,Shoplifting of high-end electronics; a security guard acted as the primary witness,Bronx
20251102,fraud,Identity theft involving unauthorized bank transfers,Manhattan
20240819,robbery,Armed robbery at a convenience store; a customer in the back provided a description,Staten Island
20231225,arson,Intentional fire set in an abandoned warehouse,Staten Island
20260110,bribery,Attempted payoff to a city official; the encounter was witnessed by a staffer,Brooklyn
20240312,assault,Physical altercation outside a nightclub,Queens
20250630,murder,Homicide involving a firearm; several residents reported hearing the shots,Manhattan
20230908,theft,Bicycle stolen from a public park,Brooklyn
20241021,fraud,Email phishing scam targeting local seniors; one victim came forward as a witness,Brooklyn
20250214,assault,Dispute between neighbors resulting in minor injuries,Bronx
20230115,bribery,Contractor offered cash for a zoning variance; witnessed by a city clerk,Manhattan
20240411,robbery,Street mugging at knifepoint,Brooklyn
20251212,theft,Package taken from a porch; a neighbor caught the suspect on a doorbell camera,Brooklyn
20230805,arson,Vehicle set on fire in a residential alley,Staten Island
20260125,murder,Fatal shooting in a parking lot; three witnesses provided statements,Manhattan
20240714,fraud,Credit card skimming discovered at a local boutique,Staten Island
20230330,assault,Unprovoked attack on a transit platform; several commuters witnessed the event,Queens
20251005,theft,Lawn equipment stolen from a garden shed,Brooklyn
20241118,bribery,Cash bribe offered to a health inspector; witness recorded the conversation,Bronx
20231201,robbery,Bank robbery involving a masked suspect,Brooklyn
20250109,arson,Small fire started in a dumpster behind a school; a janitor saw a suspect fleeing,Brooklyn
20240623,murder,Homicide investigation following a domestic dispute,Staten Island
20230419,theft,Wallet snatched from a table at an outdoor cafe; a waiter saw the suspect,Brooklyn
20250830,fraud,Insurance fraud involving a staged car accident,Brooklyn
20241205,assault,Bar fight leading to hospitalizations; dozens of patrons were present,Staten Island
20230711,robbery,Pharmacy robbed of prescription meds,Queens
20250314,bribery,Attempted bribe of a police officer; dashcam footage served as a witness,Brooklyn
20240228,theft,Tools stolen from a construction site,Bronx
20231015,arson,Structure fire at a vacant retail store; witness reported a white van,Manhattan
20250920,fraud,Phishing attack on a local government office,Brooklyn
20240505,murder,Drive-by shooting incident; several witnesses identified a dark SUV,Manhattan
20230214,theft,Phone stolen from a gym locker,Staten Island
20251125,assault,Physical struggle during a shoplifting attempt; a store manager intervened,Manhattan
20240801,robbery,Pedestrian robbed of their watch at gunpoint,Staten Island
20230630,bribery,Payoff made to a building inspector; a whistleblower provided details,Queens
20251210,arson,Fire set to a construction crane,Brooklyn
20240112,theft,Unlocked bicycle stolen from a garage; a neighbor saw the suspect,Bronx
20230925,murder,Fatal stabbing in a public park,Manhattan
20250418,fraud,Counterfeit bills passed at a grocery store; a cashier acted as a witness,Brooklyn
20241030,assault,Security guard assaulted by a trespasser,Brooklyn
20231111,robbery,Store clerk robbed during the night shift; witness provided a vehicle description,Staten Island
20250702,theft,Jewelry stolen from a residence,Manhattan
20240322,arson,Intentional fire in a public park; a jogger reported a hooded figure,Staten Island
20230528,bribery,Bribe offered to a licensing official,Queens
20250228,murder,Shooting death outside a nightclub; several witnesses are cooperating,Brooklyn
20240909,fraud,Investment scam promising high returns,Bronx
20230819,theft,Laptop stolen from a library; a student saw the suspect leaving,Manhattan
20251215,assault,Domestic violence incident reported by a neighbor,Brooklyn
20240405,robbery,Carjacking at a gas station; a witness recorded the license plate,Manhattan
20230129,arson,House fire determined to be arson,Staten Island
20250617,bribery,Bribe paid to an environmental officer; witnessed by a technician,Manhattan
20241102,murder,Homicide resulting from a botched drug deal,Staten Island
20231008,theft,Bicycle stolen from a balcony; a neighbor witnessed the climb,Queens
20250131,fraud,Tax evasion involving offshore accounts,Brooklyn
20240512,assault,Physical fight between two motorists; several drivers stopped to help,Bronx
20230714,robbery,Convenience store holdup,Manhattan
20250325,arson,Brush fire started with an accelerant; witness saw a suspect in the area,Brooklyn
20241220,murder,Body discovered in an abandoned building,Manhattan
20230227,theft,Shoplifting of luxury goods; a salesperson provided a statement,Staten Island
20250810,bribery,Bribe offered to influence a city contract,Brooklyn
20240606,assault,Altercation at a transit station; captured on CCTV with several witnesses,Staten Island
20230305,robbery,Pedestrian robbed of a backpack,Queens
20251015,arson,Garbage fire set behind a shopping center; witness saw a suspect,Brooklyn
20240128,fraud,Check kiting scheme uncovered at a bank,Bronx
20231115,murder,Fatal shooting in a residential area; a neighbor heard the altercation,Manhattan
20250522,theft,Power tools taken from a work truck,Brooklyn
20240701,assault,Violent struggle during a robbery; a passerby intervened,Manhattan
20230919,robbery,Bank robbery by a lone individual,Staten Island
20251119,bribery,Kickback paid to a purchasing agent; witnessed by an accountant,Brooklyn
20240215,arson,Fire set to a vacant home,Staten Island
20230628,theft,Package stolen from a mailroom; a delivery driver witnessed the act,Queens
20250814,murder,Homicide investigation at a motel,Brooklyn
20241022,fraud,Social security fraud using stolen identities; witness saw the mail being taken,Bronx
20230501,assault,Fight in a parking lot,Brooklyn
20250412,robbery,Armed robbery of a jewelry store; several customers were present,Brooklyn
20241215,arson,Trash can fire spread to a building,Manhattan
20230811,bribery,Bribe offered to a DMV clerk; a supervisor witnessed the attempt,Staten Island
20250205,theft,Purse stolen from a shopping cart,Brooklyn
20240419,murder,Shooting at a party; multiple witnesses identified the shooter,Staten Island
20230122,fraud,Online auction scam involving non-existent goods,Queens
20251111,assault,Threats made with a weapon during a dispute; neighbor called 911,Brooklyn
20240705,robbery,Delivery driver robbed of cash,Bronx
20231030,arson,Intentional fire in a parking garage; witness saw a suspect with a gas can,Manhattan
20250105,bribery,Bribe paid to bypass building codes,Brooklyn
20240914,theft,Copper wiring stolen from a site; a security guard saw the suspect,Brooklyn
20230412,murder,Homicide investigation following a gang-related shooting,Staten Island
20250528,fraud,Investment fraud targeting local businesses; a whistleblower came forward,Manhattan
20240118,assault,Pushing and shoving match at a rally,Staten Island
20231220,robbery,Armed robbery of a pedestrian; witness provided a height description,Queens
20250711,arson,Vehicle fire spread to a nearby fence,Brooklyn
20240329,bribery,Bribe offered to a juror; witnessed by a bailiff,Bronx
20230518,theft,Wallet stolen from a coat pocket,Brooklyn
20250930,murder,Fatal stabbing in a subway station; many commuters witnessed the attack,Brooklyn
20241111,fraud,Credit card fraud involving unauthorized orders,Manhattan
20230719,assault,Person hit with a glass bottle; a bartender saw the incident,Staten Island
20250220,robbery,Convenience store robbery at gunpoint,Brooklyn
20240822,arson,Fire set to a local business; witness saw a suspect fleeing on a bike,Staten Island
20230302,bribery,Bribe paid for a liquor license,Queens
20251030,theft,Laptop taken from a university cafe; a student witness provided a sketch,Brooklyn
20241222,murder,Shooting death in a parking lot,Bronx
20230910,fraud,Mortgage fraud involving forged signatures; a notary acted as a witness,Manhattan
20250425,assault,Road rage incident leading to a fight,Brooklyn
20241115,robbery,Mugging in an alleyway; a passerby saw the suspect flee,Manhattan
20230528,arson,Intentional fire in a storage unit,Staten Island
20250819,bribery,Bribe offered to a code enforcement officer; witness recorded the audio,Manhattan
20240101,theft,Phone stolen from a restaurant table,Staten Island
20231105,murder,Investigation into a shooting at a park; several joggers were witnesses,Queens
20251230,fraud,Phishing scam targeting school employees,Brooklyn
20240618,assault,Dispute at a sporting event; several fans witnessed the hit,Bronx
20231025,robbery,Bank robbery with a weapon shown,Manhattan
20250120,arson,Small fire set in a public restroom; witness saw a suspect entering,Brooklyn
20240428,theft,Bicycle stolen from a front porch,Manhattan
20230211,murder,Homicide investigation following a shooting; neighbor heard the shots,Staten Island
20251111,bribery,Cash exchange observed between a developer and an official,Manhattan
20240910,fraud,Investment scam targeting the elderly,Staten Island
20230830,assault,Physical altercation in a parking garage; a witness called security,Queens
20250505,robbery,Mugging at a transit stop,Brooklyn
20241215,arson,Car fire set in a residential driveway; neighbor saw the suspect,Bronx
20230701,theft,Lawn equipment stolen from a shed,Manhattan
20250210,murder,Body discovered in a wooded area; no witnesses reported,Brooklyn
20240410,fraud,Identity theft used to open accounts; bank teller acted as a witness,Manhattan
20231115,assault,Customer assaulted a staff member,Staten Island
20250915,robbery,Pharmacy robbed of narcotics; witness identified a suspect,Brooklyn
20240722,arson,Intentional fire set to a fence,Staten Island
20230509,bribery,Bribe paid to an official for a city contract; witnessed by an aide,Queens
20250119,theft,Shoplifting incident at a grocery store,Brooklyn
20241108,murder,Fatal shooting in a residential neighborhood; several witnesses identified a car,Bronx
20231228,fraud,Counterfeit checks used for a large purchase,Manhattan
20250625,assault,Altercation at a public park; witness recorded the fight,Brooklyn
20240215,robbery,Pedestrian robbed of their cell phone,Manhattan
20231019,arson,Structure fire at a warehouse; witness reported a person with a lighter,Staten Island
20251105,bribery,Bribe offered to influence a legal case,Manhattan
20240515,theft,Tools stolen from a work van; neighbor saw a suspect,Staten Island
20230730,murder,Investigation into a shooting death,Queens
20250915,fraud,Insurance fraud involving property damage; adjuster acted as a witness,Brooklyn
20240115,assault,Physical fight at a bar,Bronx
20230915,robbery,Store clerk robbed at gunpoint; customer saw the suspect flee,Manhattan
20251230,arson,Vehicle set on fire in a public lot,Brooklyn
20240805,theft,Backpack stolen from a bus station; witness saw the suspect,Brooklyn
20230302,murder,Homicide investigation following a drive-by,Staten Island
20250105,bribery,Bribe paid to a government official; witnessed by a staffer,Brooklyn
20241111,fraud,Identity theft involving a data breach,Staten Island
20230625,assault,Person struck with a weapon during a dispute; neighbor saw the hit,Queens
20251020,robbery,Convenience store robbery,Brooklyn
20240422,arson,Intentional fire set in an empty field; witness saw a suspect fleeing,Bronx
20231215,theft,Bicycle stolen from a balcony,Manhattan
20250819,murder,Fatal stabbing in a subway station; multiple witnesses identified the suspect,Brooklyn
20240612,fraud,Email scam targeting corporate employees,Manhattan
20231128,assault,Bar fight resulting in minor injuries; bartender was a witness,Staten Island
20250415,robbery,Bank robbery involving a masked individual,Manhattan
20240228,arson,Small fire set in a vacant lot; witness reported a hooded figure,Staten Island
20230514,bribery,Attempted bribe of a city official,Queens
20251015,theft,Purse taken from a shopping cart; witness provided a description,Brooklyn
20240925,murder,Investigation into a shooting death,Bronx
20230815,fraud,Skimming device found at a gas station; witness saw someone tampering,Manhattan
20250120,assault,Altercation between two neighbors,Brooklyn
20240419,robbery,Mugging in a public park; a jogger acted as a witness,Manhattan
20231030,arson,Intentional fire in a storage unit,Staten Island
20250910,bribery,Bribe paid to a procurement officer; witnessed by a coworker,Brooklyn
20240705,theft,Retail theft of electronics,Staten Island
20230122,murder,Shooting in a residential area; witness identified a silver sedan,Queens
20251119,fraud,Unemployment fraud involving stolen info,Brooklyn
20240215,assault,Person hit with a glass bottle in a bar; multiple witnesses present,Bronx
20230509,robbery,Carjacking at a red light,Brooklyn
20250805,arson,House fire determined to be arson; neighbor saw a suspect flee,Brooklyn
20241111,theft,Phone stolen from a table,Manhattan
20230319,murder,Fatal stabbing during a dispute; several witnesses fled,Staten Island
20250528,bribery,Bribe offered to a building inspector,Brooklyn
20241019,fraud,Counterfeit bills passed at a market; cashier acted as a witness,Staten Island
20230810,assault,Domestic violence incident reported by a neighbor,Queens
20250625,robbery,Armed robbery of a pedestrian,Brooklyn
20240310,arson,Fire set to a vacant storefront; witness saw a suspect with a gas can,Bronx
20231115,theft,Bicycle stolen from a rack,Manhattan
20251230,murder,Homicide investigation following a shooting; neighbor heard shots,Brooklyn
20240722,fraud,Identity theft involving a new credit line,Manhattan
20230505,assault,Bar fight leading to hospitalizations; security acted as witnesses,Staten Island
20250210,robbery,Convenience store robbery,Manhattan
20240805,arson,Trash can fire set behind a building; witness saw a suspect,Staten Island
20230119,bribery,Bribe paid to influence a city contract,Queens
20251025,theft,Laptop stolen from a library,Brooklyn
20241111,murder,Shooting in a parking lot; witness recorded the car's plate,Bronx
20230612,fraud,Investment fraud targeting local seniors,Manhattan
20250915,assault,Physical fight at a sporting event; several fans witnessed it,Brooklyn
20240228,robbery,Mugging at a transit stop,Manhattan
20230730,arson,Intentional fire set to a fence; neighbor saw a suspect fleeing,Staten Island
20250422,bribery,Bribe offered to a health official,Manhattan
20241010,theft,Purse taken from a car,Staten Island
20230815,murder,Fatal stabbing in a residential driveway; witness saw a getaway car,Queens
20250615,fraud,Identity theft used to open accounts,Brooklyn
20240122,assault,Customer assaulted a staff member; multiple witnesses present,Bronx
20231228,robbery,Bank heist involving a masked individual,Manhattan
20250915,arson,Fire set in an abandoned lot; witness reported a suspicious figure,Brooklyn
20240515,theft,Bicycle stolen from a backyard,Manhattan
20231025,murder,Investigation into a drive-by shooting; several shell casings recovered,Staten Island
20251111,bribery,Cash exchange observed between a developer and an official,Manhattan
20240910,fraud,Phishing scam targeting corporate employees; IT acted as a witness,Staten Island
20230505,assault,Physical altercation between two drivers,Queens
20250310,robbery,Armed robbery of a pedestrian; witness saw the suspect flee,Brooklyn
20241215,arson,Intentional fire set to a park bench,Bronx
20230830,theft,Package stolen from a porch; neighbor saw a white truck,Manhattan
20250715,murder,Shooting death outside a store; witness provided a detailed description,Brooklyn
20240915,theft,Shoplifting of power tools from a hardware store; a store employee witnessed the suspect flee,Brooklyn
20230520,bribery,Subcontractor offered cash for a building permit; witnessed by a city engineer,Brooklyn
20251111,assault,Physical fight in a grocery store parking lot,Bronx
20240105,murder,Fatal shooting during a domestic dispute; a neighbor reported hearing the shots,Staten Island
20230822,fraud,Credit card skimming at a local gas station,Manhattan
20250614,arson,Intentional fire set to a dumpster behind a retail mall; security footage under review,Staten Island
20240318,robbery,Armed mugging at a transit station; several commuters gave statements,Manhattan
20231201,theft,Bicycle stolen from a high school bike rack,Brooklyn
20250930,murder,Body discovered in a city park; forensic investigation ongoing with no witnesses,Queens
20240712,assault,Unprovoked attack on a pedestrian; witness provided a height description,Manhattan
20231005,bribery,Cash bribe offered to a traffic officer during a routine stop,Bronx
20250214,fraud,Identity theft involving fraudulent unemployment claims,Brooklyn
20240522,arson,Vehicle fire spread to a residential fence; neighbor saw a suspect with a lighter,Staten Island
20230119,robbery,Pharmacy robbed of prescription medications; a pharmacist was the sole witness,Manhattan
20251130,theft,Package taken from a porch,Brooklyn
20241215,murder,Investigation into a drive-by shooting; several shell casings recovered,Staten Island
